Level	Rule Name	Subject	Property	Value
ERROR	missing_label	OBA:1000049	rdfs:label	
ERROR	missing_label	PATO:0000921	rdfs:label	
WARN	missing_definition	OBA:1000049	IAO:0000115	
WARN	missing_definition	PATO:0000921	IAO:0000115	
WARN	missing_definition	https://purl.obolibrary.org/obo/FOVT_0001057	IAO:0000115	
WARN	missing_definition	https://purl.obolibrary.org/obo/FOVT_0001058	IAO:0000115	
WARN	missing_definition	https://purl.obolibrary.org/obo/FOVT_0001059	IAO:0000115	
WARN	missing_definition	https://purl.obolibrary.org/obo/FOVT_0001060	IAO:0000115	
WARN	missing_definition	https://purl.obolibrary.org/obo/FOVT_0001073	IAO:0000115	
INFO	missing_superclass	https://purl.obolibrary.org/obo/FOVT_0000022	rdfs:subClassOf	
